year,sex,n_all
1880,F,97604
1880,M,118399
1881,F,98855
1881,M,108282
1882,F,115696
1882,M,122031
1883,F,120059
1883,M,112478
1884,F,137586
1884,M,122739
1885,F,141949
1885,M,115946
1886,F,153736
1886,M,119042
1887,F,155422
1887,M,109315
1888,F,189447
1888,M,129905
1889,F,189219
1889,M,119034
1890,F,201661
1890,M,119701
1891,F,196567
1891,M,109267
1892,F,224915
1892,M,131453
1893,F,225232
1893,M,121040
1894,F,235972
1894,M,124894
1895,F,247107
1895,M,126644
1896,F,251993
1896,M,129072
1897,F,248275
1897,M,121943
1898,F,274146
1898,M,132105
1899,F,247490
1899,M,115195
1900,F,317775
1900,M,162140
1901,F,254232
1901,M,115595
1902,F,280333
1902,M,132749
1903,F,278198
1903,M,129326
1904,F,292438
1904,M,138508
1905,F,309870
1905,M,143244
1906,F,313441
1906,M,144070
1907,F,337433
1907,M,158588
1908,F,354533
1908,M,166372
1909,F,368098
1909,M,176868
1910,F,419526
1910,M,208524
1911,F,441812
1911,M,241392
1912,F,586708
1912,M,451456
1913,F,654904
1913,M,536243
1914,F,796608
1914,M,683321
1915,F,1023882
1915,M,880948
1916,F,1085708
1916,M,923258
1917,F,1123702
1917,M,959331
1918,F,1202363
1918,M,1048689
1919,F,1174650
1919,M,1015339
1920,F,1244038
1920,M,1100869
1921,F,1279681
1921,M,1137925
1922,F,1247531
1922,M,1125316
1923,F,1252416
1923,M,1132363
1924,F,1295716
1924,M,1169028
1925,F,1263046
1925,M,1151452
1926,F,1230117
1926,M,1145465
1927,F,1236348
1927,M,1161789
1928,F,1195385
1928,M,1141098
1929,F,1157481
1929,M,1107405
1930,F,1166344
1930,M,1129373
1931,F,1103563
1931,M,1069368
1932,F,1106167
1932,M,1074167
1933,F,1045864
1933,M,1019889
1934,F,1082174
1934,M,1061656
1935,F,1086677
1935,M,1069275
1936,F,1077429
1936,M,1064111
1937,F,1101723
1937,M,1093413
1938,F,1141329
1938,M,1136223
1939,F,1133993
1939,M,1133089
1940,F,1181212
1940,M,1185984
1941,F,1245808
1941,M,1254586
1942,F,1390365
1942,M,1408028
1943,F,1435227
1943,M,1454263
1944,F,1366429
1944,M,1388905
1945,F,1346051
1945,M,1371329
1946,F,1612831
1946,M,1650135
1947,F,1817781
1947,M,1857349
1948,F,1742587
1948,M,1782570
1949,F,1755499
1949,M,1801901
1950,F,1758923
1950,M,1819993
1951,F,1846667
1951,M,1910588
1952,F,1902145
1952,M,1973397
1953,F,1929114
1953,M,2001102
1954,F,1990632
1954,M,2067882
1955,F,2004373
1955,M,2088636
1956,F,2059330
1956,M,2144680
1957,F,2097516
1957,M,2187626
1958,F,2065011
1958,M,2153177
1959,F,2078477
1959,M,2166434
1960,F,2079930
1960,M,2166091
1961,F,2076225
1961,M,2155910
1962,F,2027018
1962,M,2102338
1963,F,1987890
1963,M,2065419
1964,F,1957182
1964,M,2027616
1965,F,1827342
1965,M,1895639
1966,F,1755555
1966,M,1818163
1967,F,1716654
1967,M,1780001
1968,F,1709480
1968,M,1776423
1969,F,1762720
1969,M,1830456
1970,F,1831956
1970,M,1906003
1971,F,1752356
1971,M,1818630
1972,F,1612524
1972,M,1674919
1973,F,1554011
1973,M,1614370
1974,F,1566158
1974,M,1630935
1975,F,1560705
1975,M,1623186
1976,F,1571901
1976,M,1633331
1977,F,1644879
1977,M,1709885
1978,F,1643759
1978,M,1708989
1979,F,1723064
1979,M,1791697
1980,F,1780228
1980,M,1854692
1981,F,1788032
1981,M,1862080
1982,F,1813716
1982,M,1886704
1983,F,1789105
1983,M,1862811
1984,F,1802581
1984,M,1875736
1985,F,1845612
1985,M,1923356
1986,F,1844734
1986,M,1920483
1987,F,1873574
1987,M,1949062
1988,F,1922263
1988,M,2000862
1989,F,1991787
1989,M,2095209
1990,F,2053702
1990,M,2150863
1991,F,2032978
1991,M,2118988
1992,F,2004166
1992,M,2098423
1993,F,1971029
1993,M,2064806
1994,F,1948875
1994,M,2037777
1995,F,1921035
1995,M,2010773
1996,F,1916678
1996,M,2003109
1997,F,1908561
1997,M,1997063
1998,F,1937701
1998,M,2026806
1999,F,1945832
1999,M,2037920
2000,F,1994461
2000,M,2086976
2001,F,1979571
2001,M,2066991
2002,F,1973556
2002,M,2065175
2003,F,2004932
2003,M,2099617
2004,F,2016063
2004,M,2111689
2005,F,2027508
2005,M,2125380
2006,F,2088261
2006,M,2190066
2007,F,2113906
2007,M,2212515
2008,F,2079948
2008,M,2177409
2009,F,2021799
2009,M,2117746
2010,F,1956853
2010,M,2050778
2011,F,1933342
2011,M,2026895
2012,F,1934051
2012,M,2023569
2013,F,1920953
2013,M,2013559
2014,F,1947553
2014,M,2039794
2015,F,1935109
2015,M,2026872
